Id,Data Types and Structures,Arithmetic Operations,Programming Language Fundamentals,Class and Functions,Variables,Comparison,Boolean Operation,Boolean Operations,Loops,Conditions
S002,0.8333333333333334,0.8571428571428571,0.8,0.8888888888888888,0.8571428571428571,0.6666666666666666,1.0,1.0,0.0,0.0
S011,0.8461538461538461,0.7659574468085106,0.9032258064516129,0.9024390243902439,0.7586206896551724,0.8125,1.0,0.75,0.5,1.0
S014,0.9230769230769231,0.75,0.9375,0.9615384615384616,0.9230769230769231,1.0,0.0,0.0,0.0,0.0
S020,0.8333333333333334,0.8333333333333334,0.8,0.967741935483871,0.7894736842105263,0.6666666666666666,0.0,0.0,0.0,0.0
S023,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0
S034,0.6666666666666666,0.5714285714285714,0.4,0.6666666666666666,0.2857142857142857,0.14285714285714285,0.6666666666666666,0.5,0.0,0.0
S045,0.7647058823529411,0.6785714285714286,0.8260869565217391,0.9642857142857143,0.75,0.75,0.0,0.0,0.0,0.0
S049,1.0,0.8571428571428571,0.9375,1.0,0.9230769230769231,1.0,0.0,0.0,0.0,0.0
S053,0.7777777777777778,0.7833333333333333,0.8837209302325582,0.9464285714285714,0.7906976744186046,0.7692307692307693,1.0,0.75,0.8333333333333334,1.0
S054,0.8181818181818182,0.6428571428571429,0.875,0.9166666666666666,0.75,0.6666666666666666,0.0,0.0,0.0,1.0
S057,0.3333333333333333,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
S058,0.9090909090909091,0.8333333333333334,0.9333333333333333,0.9565217391304348,0.9166666666666666,0.0,0.0,0.0,0.0,0.0
S062,0.8,0.3333333333333333,0.6153846153846154,0.8095238095238095,0.4166666666666667,0.0,0.0,0.0,0.0,0.0
S065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
S072,0.8888888888888888,0.7560975609756098,0.9032258064516129,0.8780487804878049,0.8888888888888888,0.7857142857142857,1.0,0.6666666666666666,1.0,1.0
S074,1.0,1.0,0.8571428571428571,0.8571428571428571,0.75,0.0,0.0,0.0,0.0,0.0
S082,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
S085,1.0,0.9583333333333334,1.0,0.9545454545454546,1.0,0.0,0.0,0.0,0.0,0.0
S089,0.55,0.5384615384615384,0.4166666666666667,0.7272727272727273,0.3,0.6,0.0,0.0,0.0,0.0
S107,0.5,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
S110,0.8888888888888888,0.875,0.8333333333333334,0.9,0.875,0.0,0.0,0.0,0.0,0.0
S112,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
S117,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0
S127,0.7894736842105263,0.8275862068965517,0.7142857142857143,0.8387096774193549,0.75,0.7272727272727273,1.0,0.6666666666666666,1.0,1.0
S132,0.7272727272727273,0.7948717948717948,0.8888888888888888,0.9428571428571428,0.8181818181818182,0.8571428571428571,1.0,0.5,0.0,0.0
S139,0.8333333333333334,1.0,0.8,0.9,0.75,0.0,0.0,0.0,1.0,1.0
S148,1.0,1.0,1.0,0.9285714285714286,1.0,0.0,0.0,0.0,0.0,0.0
S150,0.6585365853658537,0.647887323943662,0.7021276595744681,0.8709677419354839,0.6875,0.6285714285714286,0.25,0.2,0.5714285714285714,0.8888888888888888
S170,0.8846153846153846,0.7872340425531915,0.9333333333333333,0.9024390243902439,0.8275862068965517,0.7692307692307693,1.0,0.75,1.0,1.0
S175,0.75,0.7142857142857143,0.8461538461538461,0.8125,0.7777777777777778,0.625,0.5,0.5,0.0,0.0
S180,0.7142857142857143,0.6666666666666666,0.5,0.6923076923076923,0.5,0.0,0.0,0.0,0.0,0.0
S181,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
S182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S187,0.8333333333333334,0.6875,0.6666666666666666,0.8260869565217391,0.5384615384615384,0.75,0.0,0.0,1.0,0.0
S194,1.0,1.0,0.7777777777777778,0.8125,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
S198,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
S201,0.8333333333333334,1.0,0.7142857142857143,0.8666666666666667,0.6,1.0,0.0,0.0,0.0,0.0
S207,0.8888888888888888,0.875,0.75,0.95,0.75,0.0,0.0,0.0,0.0,0.0
S211,0.92,0.8444444444444444,0.8666666666666667,0.925,0.8928571428571429,0.8571428571428571,1.0,0.75,1.0,0.0
S307,0.9090909090909091,0.8076923076923077,1.0,0.9565217391304348,0.8181818181818182,0.0,0.0,0.0,0.0,0.0
S331,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
S334,1.0,1.0,0.8571428571428571,1.0,0.75,0.0,0.0,0.0,0.0,0.0
S347,0.9,0.8571428571428571,0.9,0.9,0.7,0.0,0.0,0.0,1.0,0.0
S372,0.8529411764705882,0.8148148148148148,0.9210526315789473,0.9411764705882353,0.7948717948717948,0.875,1.0,1.0,1.0,1.0
S374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
S377,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
S378,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
S397,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
S399,0.8181818181818182,0.7714285714285715,0.9090909090909091,0.9411764705882353,0.8181818181818182,0.8571428571428571,1.0,1.0,0.0,1.0
S412,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
S430,0.8125,0.7741935483870968,0.9444444444444444,0.9642857142857143,0.9375,1.0,1.0,0.6666666666666666,0.0,0.0
S444,0.8333333333333334,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
S454,1.0,0.8571428571428571,1.0,1.0,0.8571428571428571,1.0,0.0,0.0,0.0,0.0
S455,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
S457,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
S467,0.85,0.8064516129032258,0.9148936170212766,0.9180327868852459,0.8775510204081632,0.6666666666666666,0.75,0.75,0.875,0.7142857142857143
S469,1.0,0.9473684210526315,1.0,0.9523809523809523,1.0,0.0,0.0,0.0,0.0,0.0
S481,1.0,0.0,1.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0
S496,0.9230769230769231,0.8372093023255814,0.92,0.9743589743589743,0.7333333333333333,0.8421052631578947,1.0,0.6666666666666666,0.75,1.0
S508,0.8181818181818182,0.625,0.9230769230769231,0.9090909090909091,0.7272727272727273,0.0,0.0,0.0,0.0,0.0
S510,0.9444444444444444,0.9152542372881356,0.9487179487179487,0.9636363636363636,0.9024390243902439,0.8,0.75,0.6,0.8,1.0
S523,0.3333333333333333,0.6666666666666666,0.5714285714285714,0.7,0.4,0.0,0.0,0.0,0.6666666666666666,1.0
S534,0.8333333333333334,0.8541666666666666,0.9375,1.0,0.9142857142857143,0.8636363636363636,1.0,0.75,1.0,1.0
S535,0.775,0.6666666666666666,0.8444444444444444,0.9137931034482759,0.6739130434782609,0.6129032258064516,0.75,0.2,0.5714285714285714,0.7142857142857143
S537,0.8,0.7586206896551724,0.9767441860465116,0.9464285714285714,0.8837209302325582,0.7307692307692307,0.6666666666666666,0.5,0.6666666666666666,1.0
S539,0.8888888888888888,0.9090909090909091,0.8947368421052632,0.9655172413793104,0.8823529411764706,0.6363636363636364,1.0,1.0,0.0,1.0
S540,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0
S546,0.8181818181818182,0.9230769230769231,0.75,0.8095238095238095,0.7,0.5,0.0,0.0,0.0,1.0
S586,0.8636363636363636,0.7142857142857143,0.9545454545454546,0.9117647058823529,0.9090909090909091,0.8571428571428571,1.0,0.3333333333333333,0.0,1.0
S587,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
S588,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
S592,0.9166666666666666,0.8928571428571429,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
S602,0.9285714285714286,0.7857142857142857,1.0,0.96,1.0,0.75,0.0,0.0,0.0,0.0
S608,0.7857142857142857,0.8571428571428571,0.875,0.84,0.8571428571428571,0.5,0.0,0.0,0.0,0.0
S642,1.0,0.8484848484848485,1.0,1.0,1.0,0.9285714285714286,1.0,0.6666666666666666,0.0,1.0
S652,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
S654,0.8333333333333334,0.7692307692307693,0.9285714285714286,0.9545454545454546,0.9166666666666666,0.0,0.0,0.0,0.0,0.0
S658,0.9285714285714286,0.9333333333333333,1.0,0.8888888888888888,1.0,0.9,1.0,0.5,0.75,1.0
S659,0.5,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
S665,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
S683,0.8529411764705882,0.8333333333333334,0.9473684210526315,0.9607843137254902,0.8205128205128205,0.7083333333333334,1.0,1.0,0.8,1.0
S693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S707,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.0,0.0,1.0,1.0
S720,0.6666666666666666,1.0,0.75,1.0,0.6666666666666666,0.5,0.0,0.0,0.0,0.0
S749,0.9285714285714286,0.8928571428571429,1.0,0.96,1.0,0.75,0.0,0.0,0.0,0.0
S761,0.9,0.7692307692307693,0.9230769230769231,1.0,1.0,0.5,0.0,0.0,0.5,1.0
S763,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S773,0.8333333333333334,0.7777777777777778,0.9285714285714286,0.9565217391304348,0.9166666666666666,0.0,0.0,0.0,0.0,0.0
SA,0.8372093023255814,0.8450704225352113,0.94,0.9242424242424242,0.8627450980392157,0.7941176470588235,0.75,0.6,0.875,1.0
